part_of_speech,english,greek,category
noun,"lamp, light bulb",λάμπα,feminine
adverb,"late, slowly",αργά,
adverb,later,αργότερα,
verb,learn,μαθαίνω,
noun,"leg, foot",πόδι,neuter
adverb,less,λιγότερο,
noun,letter,γράμμα,neuter
noun,lettuce ,μαρούλι,neuter
verb,"like, love",αγαπάω,
noun,lip,χείλι,neuter
verb,live,ζω,
noun,living room ,καθιστικό,neuter
noun,lunch,μεσημεριανό,neuter
noun,"man, husband",άντρας,masculine
noun,mango,μάνγκο,neuter
noun,March,Μάρτιος,masculine
noun,marker,μαρκαδόρος,masculine
noun,"mattress, layer, stratum",στρώμα,neuter
noun,May,Μάιος,masculine
noun,measuring cup,δοσομετρητής,masculine
noun,meat,κρέας,masculine
noun,mind,μυαλό,neuter
noun,mirror,καθρέφτης,masculine
noun,Miss,δεσποινίς,feminine
noun,mom,μαμά,feminine
noun,monday,δευτέρα,feminine
noun,"moneybox, piggy bank",κουμπαράς,masculine
noun,moon,φεγγάρι,neuter
adverb,more,περισσότερο,
noun,morning,πρωί,neuter
noun,mother,μητέρα,feminine
noun,mother-in-law,πεθερά,feminine
noun,mountain,βουνό,neuter
noun,mouse,ποντίκι,neuter
noun,mouth,στόμα,neuter
noun,Mr,κύριος,masculine
noun,Mrs,κύρια,feminine
noun,"neck, throat",λαιμός,masculine
adjective,negative,αρνητικός,
noun,nephew,ανιψιός,masculine
adverb,never,ποτέ,
adjective,"new, young",νέος,
preposition,next to,δίπλα σε,
noun,niece,ανιψιά,feminine
noun,night,νύχτα,feminine
noun,nightgown,νυχτικό,neuter
noun,nightstand,κομοδίνο,neuter
noun,nose,μύτη,feminine
noun,notebook,τετράδιο,neuter
noun,November,Νοέμβριος,masculine
adverb,now,τώρα,
noun,object,αντικείμενο,neuter
noun,October,Οκτώβριος,masculine
preposition,of,"του,της,των",
adverb,often,συχνά,
adjective,old,παλιός,
noun,olive,ελιά,feminine
noun,onion ,κρεμμύδι,neuter
verb,open,ανοίγω,
conjunction,or,ή,
noun,orange,πορτοκάλι,neuter
adverb,outside,έξω,
noun,oven,φούρνος,masculine
preposition,over,πάνω από,
noun,pan,τηγάνι,neuter
noun,pants,παντελόνι,neuter
noun,"paper (material, document)",χαρτί,neuter
noun,parent,γονιός,masculine
noun,passport ,διαβατήριο,neuter
noun,"path, footpath, trail",μονοπάτι,neuter
noun,pen,στυλό,neuter
noun,pencil,μολύβι,neuter
noun,pencil case,κασετίνα,feminine
noun,pepper,πιπέρι,neuter
noun,person,άνθρωπος,masculine
noun,pillow,μαξιλάρι,neuter
noun,pineapple ,ανανάς,masculine
noun,plant,φυτό,neuter
noun,police station,αστυνομικό τμήμα,neuter
adjective,poor,φτωχός,
noun,"port, harbour",λιμάνι,neuter
adjective,positive,θετικός,
adjective,possible,πιθανός,
noun,post office,ταχυδρομείο,neuter
noun,"saucepan, pot",κατσαρόλα,feminine
noun,potato ,πατάτα,feminine
verb,put,βάζω,
noun,pyjama,πιτζάμα,feminine
adjective,quiet,ήσυχος,
noun,rabbit,κουνέλι,neuter
noun,razor,ξυράφι,neuter
verb,read,διαβάζω,
noun,refrigerator,ψυγείο,neuter
noun,relation by marriage (f),συμπεθέρα,feminine
noun,relation by marriage (m),συμπέθερος,masculine
adjective,rich,πλούσιος,
noun,river,ποτάμι,neuter
noun,"road, way, journey",δρόμος,masculine
noun,"robe, gown",ρόμπα,feminine
noun,rock,βράχος,masculine
noun,"rug, carpet",χαλί,neuter
noun,ruler,χάρακας,masculine
verb,run,τρέχω,
adjective,sad,λυπημένος,
noun,sandal,πέδιλο,neuter
noun,saturday,σάββατο,neuter
noun,scarf,κασκόλ,neuter
noun,school,σχολείο,neuter
noun,scissor,ψαλίδι,neuter
verb,see,βλέπω,
adjective,selfish,εγωιστικός,
verb,sell,πουλάω,
noun,September,Σεπτέμβριος,masculine
adjective,"serious, important, severe",σοβαρός,
noun,sharpener,ξύστρα,feminine
noun,ship,πλοίο,neuter
noun,shirt,πουκάμισο,neuter
noun,shoe,παπούτσι,neuter
adjective,short,κοντός,
noun,shorts,σορτς,neuter
noun,shoulder,ώμος,masculine
noun,shower,ντους,neuter
adjective,"silly, stupid",ανόητος,
noun,singlet,φανέλα,feminine
noun,sink,νεροχύτης,masculine
noun,sister,αδελφή,feminine
verb,sit down,κάθομαι,
noun,skirt,φούστα,feminine
noun,sky,ουρανός,masculine
verb,sleep,κοιμάμαι,
noun,sleeve,μανίκι,neuter
noun,slipper,παντόφλα,feminine
adjective,slow,αργός,
adjective,small,μικρός,
adjective,"smart, clever",έξυπνος,
noun,sneaker (athletic shoe),αθλητικά παπούτσι,neuter
conjunction,so,λοιπόν,
noun,soap,σαπούνι,neuter
noun,sock,κάλτσα,feminine
adverb,sometimes,μερικές φορές,
noun,son,γιός,masculine
noun,spatula,σπάτουλα,feminine
verb,speak,μιλάω,
noun,spinach ,σπανάκι,neuter
noun,sponge,σφουγγάρι,neuter
noun,spoon,κουτάλι,neuter
noun,"spouse (husband, wife)",σύζυγος,masculine
noun,star,αστέρι,neuter
verb,start,αρχίζω,
noun,"stocking, tights",καλτσόν,neuter
noun,"stomach, belly, tummy",κοιλιά,feminine
adjective,strange,παράξενος,
noun,strawberry ,φράουλα,feminine
adjective,strong,δυνατός,
noun,student (f),μαθήτρια,feminine
noun,student (m),μαθητής,masculine
noun,"suit jacket, blazer",σακάκι,neuter
noun,sun,ήλιος,masculine
noun,sunday,κυριακή,feminine
noun,sweater,πουλόβερ,neuter
noun,swimsuit,μαγιό,neuter
noun,t-shirt,κοντομάνικο,neuter
noun,table,τραπέζι,neuter
verb,take,παίρνω,
adjective,tall,ψηλός,
noun,tea,τσάι,neuter
noun,teacher (f),δασκάλα,feminine
noun,teacher (m),δάσκαλος,masculine
noun,teeth,δόντι,neuter
noun,television,τηλεόραση,feminine
conjunction,that,ότι,
noun,back (anatomy),πλάτη,feminine
adverb,there,εκεί,
noun,thing,πράγμα,neuter
verb,think,σκέφτομαι,
adjective,thirsty,διψασμένος,
